id,name,url,category_id,price,rating,review_count,display_phone
t_FFcwUutj9mIYKGw_gHsQ,The Salty Pig,https://www.yelp.com/biz/the-salty-pig-boston?adjust_creative=MEtw5bWj8rSYmFhJQQlmiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MEtw5bWj8rSYmFhJQQlmiw,2,$$,4.0,1675,(617) 536-6200
xZ22_0eJOgaiKqIhoSHrPw,Bostonia Public House,https://www.yelp.com/biz/bostonia-public-house-boston-4?adjust_creative=MEtw5bWj8rSYmFhJQQlmiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MEtw5bWj8rSYmFhJQQlmiw,2,$$,4.0,1340,(617) 948-9800
yBIN7uSzd5saehWA1I_GBw,Row 34,https://www.yelp.com/biz/row-34-boston?adjust_creative=MEtw5bWj8rSYmFhJQQlmiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MEtw5bWj8rSYmFhJQQlmiw,2,$$$,4.0,1461,(617) 553-5900
lCMN0raxlHnBFDoLgkz4sw,Milkweed,https://www.yelp.com/biz/milkweed-boston?adjust_creative=MEtw5bWj8rSYmFhJQQlmiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MEtw5bWj8rSYmFhJQQlmiw,2,$$,4.5,537,(617) 516-8913
MKIngNGj0_cBKV4leGuCjw,The Tip Tap Room,https://www.yelp.com/biz/the-tip-tap-room-boston?adjust_creative=MEtw5bWj8rSYmFhJQQlmiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MEtw5bWj8rSYmFhJQQlmiw,2,$$,4.0,727,(857) 350-3344
P9AJqEYOT--zGRfK7QQlmQ,The Emory,https://www.yelp.com/biz/the-emory-boston?adjust_creative=MEtw5bWj8rSYmFhJQQlmiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MEtw5bWj8rSYmFhJQQlmiw,2,$$,4.5,43,(617) 430-6325
rdpY_LeMnDnfeK47eDnDOw,Lincoln Tavern and Restaurant,https://www.yelp.com/biz/lincoln-tavern-and-restaurant-boston?adjust_creative=MEtw5bWj8rSYmFhJQQlmiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MEtw5bWj8rSYmFhJQQlmiw,2,$$,4.0,812,(617) 765-8636
m1ertlgQIxAl74D7nCsvbQ,Earls Kitchen + Bar,https://www.yelp.com/biz/earls-kitchen-bar-boston-2?adjust_creative=MEtw5bWj8rSYmFhJQQlmiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MEtw5bWj8rSYmFhJQQlmiw,2,$$,4.0,760,(857) 957-0949
sYhfhua7GWiGLQkIUP_TWQ,Earls Kitchen + Bar,https://www.yelp.com/biz/earls-kitchen-bar-somerville-4?adjust_creative=MEtw5bWj8rSYmFhJQQlmiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MEtw5bWj8rSYmFhJQQlmiw,2,$$,3.5,1052,(617) 666-1790
qVNYCZi2ofv-oe293JsYkg,75 Chestnut,https://www.yelp.com/biz/75-chestnut-boston?adjust_creative=MEtw5bWj8rSYmFhJQQlmiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MEtw5bWj8rSYmFhJQQlmiw,2,$$,4.0,479,(617) 227-2175
